strategy,symbol,sharpe_ratio,drawdown,exposure,total_return,winrate,expectancy
SmaCrossoverStrategy,ZROBTC,-34.62359965131798,-0.8629781278819157,48.84672619047619,-86.1394803941302,0.21733668341708542,-10.821542763081673
SmaCrossoverStrategy,XLMBTC,-41.25709947491289,-0.9098389733392103,48.16220238095238,-90.94052994678088,0.19876543209876543,-11.227225919355668
SmaCrossoverStrategy,WIFBTC,-26.181278511871973,-0.9112171233723214,47.93402777777778,-90.67002926060991,0.21518987341772153,-11.477218893748088
SmaCrossoverStrategy,NEXOBTC,-58.68817004005049,-0.9631627079003923,48.826884920634924,-96.27073133076404,0.11190965092402463,-9.884058658189325
SmaCrossoverStrategy,BANANABTC,-11.278849245319725,-0.5788348052050298,47.88938492063492,-56.66589904535999,0.27832512315270935,-13.957117991468014
SmaCrossoverStrategy,FETBTC,-35.84353940848745,-0.8964950463447342,47.86210317460318,-89.62307149294865,0.18990384615384615,-10.772003785210197
SmaCrossoverStrategy,TONBTC,-45.7562897463411,-0.8503075094701819,50.535714285714285,-85.03001092891078,0.16604708798017348,-10.536556496767147
SmaCrossoverStrategy,LAYERBTC,-18.127528961848583,-0.8671748297863342,47.98245614035088,-84.686522467738,0.24944320712694878,-18.861140861411585
SmaCrossoverStrategy,ALGOBTC,-35.419901892742985,-0.8905760314345279,47.65376984126984,-88.9801400099936,0.1967654986522911,-11.991932615902115
SmaCrossoverStrategy,AUCTIONBTC,-10.008183503520316,-0.6490754382827701,51.07638888888889,-64.19032338818944,0.28516377649325625,-12.368077724121306
SmaCrossoverStrategy,API3BTC,-31.52411740199443,-0.8845085427564788,48.77480158730159,-88.44651121818005,0.2064516129032258,-11.41245306041033
SmaCrossoverStrategy,TAOBTC,-19.601465360534235,-0.8056605201676719,48.61111111111111,-79.84447876094501,0.2591145833333333,-10.396416505331382
SmaCrossoverStrategy,EOSBTC,-44.036055479633475,-0.8659498703677153,49.71230158730159,-86.32266353502678,0.17829457364341086,-11.152798906334226
SmaCrossoverStrategy,PNUTBTC,-12.212879141162,-0.8399285487837553,46.919642857142854,-80.33583617025485,0.23943661971830985,-14.143633128566014
SmaCrossoverStrategy,NEOBTC,-38.41681642613809,-0.8405754352404892,49.022817460317455,-83.4501606193911,0.17876344086021506,-11.216419438090208
SmaCrossoverStrategy,INJBTC,-31.609183104644956,-0.8600351769895982,48.31845238095238,-85.87621938811562,0.227330779054917,-10.967588683028836
SmaCrossoverStrategy,SUPERBTC,-19.728358275204805,-0.7476703246716196,47.51488095238095,-71.6975451829661,0.2710084033613445,-15.062509492219764
SmaCrossoverStrategy,TIABTC,-19.93694171153044,-0.7930843497197431,47.89186507936508,-77.48322076781395,0.2566137566137566,-10.249103276165863
SmaCrossoverStrategy,CTKBTC,-17.97161320033573,-0.7422290097533093,49.14434523809524,-74.22290097533073,0.24839400428265523,-15.893554812704648
SmaCrossoverStrategy,DYDXBTC,-32.1484811025887,-0.8219400049003679,49.07242063492063,-81.96433508448855,0.2217125382262997,-12.53277294869857
SmaCrossoverStrategy,AXSBTC,-43.48769309600194,-0.8430842920437874,48.56646825396825,-84.26495077889932,0.23412698412698413,-11.14615751043642
SmaCrossoverStrategy,FILBTC,-37.86999627856218,-0.8539111237589416,50.39434523809524,-85.34386644324721,0.2087912087912088,-11.723058577369105
SmaCrossoverStrategy,XTZBTC,-47.12546630519007,-0.8533795808321849,49.21626984126984,-85.3379580832184,0.20107962213225372,-11.516593533497774
SmaCrossoverStrategy,ICPBTC,-48.349245650984905,-0.8825859636620677,49.90823412698413,-88.21882362980506,0.17609254498714652,-11.339180415142042
SmaCrossoverStrategy,STPTBTC,-15.170169536698896,-0.9074037194481839,49.308035714285715,-90.64320406089085,0.21304347826086956,-19.705044361063255
SmaCrossoverStrategy,SANDBTC,-38.23859741765863,-0.8364691741397521,49.07490079365079,-83.58127681483538,0.22727272727272727,-11.512572564026911
SmaCrossoverStrategy,ETCBTC,-50.263450959002334,-0.8386813222718685,49.71478174603175,-83.69766518335086,0.1656288916562889,-10.423121442509443
SmaCrossoverStrategy,QNTBTC,-35.80163950610899,-0.881390204957761,49.66517857142857,-87.83125230085001,0.2139364303178484,-10.73731690719438
SmaCrossoverStrategy,UNIBTC,-40.14898288264134,-0.8544574820367103,46.798115079365076,-85.37996627464794,0.1949367088607595,-10.807590667676962
SmaCrossoverStrategy,ATOMBTC,-42.134597619046794,-0.867637878814747,49.526289682539684,-86.6903027451653,0.1964956195244055,-10.849850155840457
SmaCrossoverStrategy,RUNEBTC,-12.22138757163639,-0.7294825845492048,45.870535714285715,-71.84040077157997,0.22597402597402597,-9.329922178127259
SmaCrossoverStrategy,THETABTC,-35.50789827873255,-0.8485344447122104,48.26388888888889,-83.99041503809872,0.2140077821011673,-10.893698448521238
SmaCrossoverStrategy,BERABTC,-13.568187585281793,-0.7899424286764188,47.64069264069264,-78.50385025325994,0.28363047001620745,-12.723476540236614
SmaCrossoverStrategy,IMXBTC,-33.54759509179628,-0.8444643383546401,47.75297619047619,-84.30687357911721,0.20234604105571846,-12.361711668492244
SmaCrossoverStrategy,VETBTC,-69.93595541415527,-0.999999998913823,47.93154761904762,-99.9999998913823,0.013613861386138614,-12.376237610319594
SmaCrossoverStrategy,SUSHIBTC,-31.32687296952738,-0.8242263647008076,47.75545634920635,-82.1715680364498,0.2358974358974359,-10.53481641492947
SmaCrossoverStrategy,ZECBTC,-35.91887599578331,-0.8961713356155107,49.248511904761905,-89.42208144072507,0.21161290322580645,-11.538333089125803
SmaCrossoverStrategy,OMBTC,-17.18467862814236,-0.8041579009685292,47.36359126984127,-79.98722104911235,0.2147477360931436,-10.347635323300446
SmaCrossoverStrategy,EGLDBTC,-39.93140349296949,-0.8654973734846056,48.854166666666664,-86.54973734846061,0.18902439024390244,-10.554846018104941
SmaCrossoverStrategy,IOTABTC,-33.25788490321264,-0.8848999688934508,47.74305555555556,-88.42353943052018,0.2011173184357542,-12.349656345044725
SmaCrossoverStrategy,SEIBTC,-20.158236515541432,-0.7272154776690929,48.06051587301587,-72.49569183761247,0.23322683706070288,-11.580781443708066
SmaCrossoverStrategy,ENSBTC,-34.243048015109245,-0.836937291278335,47.447916666666664,-83.26539155590362,0.2037037037037037,-11.013940681997846
SmaCrossoverStrategy,COTIBTC,-22.567638936527217,-0.8728466409233788,48.46974206349206,-87.03812931184918,0.14426229508196722,-28.537091577655474
SmaCrossoverStrategy,MANTABTC,-31.382730488608438,-0.8612223685185677,48.241567460317455,-85.97752674008899,0.24133504492939667,-11.036909722732858
SmaCrossoverStrategy,PENDLEBTC,-12.600060347258786,-0.5938643593166183,48.913690476190474,-59.386435931661744,0.2621184919210054,-10.66183768970588
SmaCrossoverStrategy,ONEBTC,-48.25453914473385,-0.999999924812772,45.36954365079365,-99.9999924812772,0.0034482758620689655,-34.48275602802663
SmaCrossoverStrategy,BICOBTC,-22.15934179770775,-0.7028857842015122,48.35069444444444,-70.11465845143657,0.20114942528735633,-20.14789035960819
SmaCrossoverStrategy,RENDERBTC,-31.951127437459615,-0.8298017757369692,48.68055555555556,-82.88650220610062,0.226775956284153,-11.323292651106662
SmaCrossoverStrategy,APTBTC,-29.51190115894313,-0.834253097379604,48.50198412698413,-83.35017295158225,0.19950433705080545,-10.3283981352642
SmaCrossoverStrategy,CFXBTC,-25.936756347884938,-0.825490016232802,50.307539682539684,-81.79085731501803,0.1661631419939577,-24.710228796077963
SmaCrossoverStrategy,OMNIBTC,-29.778534922089175,-0.8587602316654693,49.51388888888889,-85.85044283107595,0.1875,-11.66446234117878
SmaCrossoverStrategy,POLBTC,-39.90600662028461,-0.8749253442747593,48.936011904761905,-87.49253442747587,0.1917024320457797,-12.516814653430039
SmaCrossoverStrategy,SLFBTC,-13.5316196208092,-0.8271082917833984,48.191964285714285,-82.51183238644796,0.2338568935427574,-14.39997074807119
SmaCrossoverStrategy,GRTBTC,-28.031791254344316,-0.8104119743417222,52.53224206349206,-80.84612754881736,0.1424802110817942,-21.331432070928045
SmaCrossoverStrategy,ALTBTC,-21.85950220004,-0.8849098283401553,45.47123015873016,-88.49098283401553,0.09941520467836257,-51.74911276843016
SmaCrossoverStrategy,KDABTC,-34.428568591176386,-0.8733618769488379,48.683035714285715,-87.32356092911485,0.17509727626459143,-11.326013090676378
SmaCrossoverStrategy,WBTC,-17.331274047997198,-0.7007209924034805,49.379960317460316,-66.98250202990418,0.25526315789473686,-17.62697421839583
SmaCrossoverStrategy,ARKMBTC,-27.95079237653238,-0.8844079330631593,48.69791666666667,-88.44079330631594,0.24124513618677043,-11.470920013789353
SmaCrossoverStrategy,PYTHBTC,-18.700128021056035,-0.7030007835956043,49.51884920634921,-70.11781824388461,0.250996015936255,-13.96769287726786
SmaCrossoverStrategy,DASHBTC,-39.14295790021527,-0.8422948740533771,50.08680555555556,-84.10275113661294,0.20078740157480315,-11.037106448374391
SmaCrossoverStrategy,ZENBTC,-17.901363255686697,-0.8085562216098614,48.95337301587301,-79.80381456222379,0.2542372881355932,-12.29642751343972
SmaCrossoverStrategy,MANABTC,-31.052051113569778,-0.7667603536189471,47.988591269841265,-76.53974243700476,0.24143556280587275,-12.486091751550543
SmaCrossoverStrategy,YFIBTC,-29.47029362199401,-0.7042813159738655,49.23363095238095,-70.14692490962891,0.189873417721519,-12.684796547853313
SmaCrossoverStrategy,ADXBTC,-11.863426991112119,-0.4392444900399175,44.71230158730159,-41.93525036459158,0.18421052631578946,-22.071184402416623
SmaCrossoverStrategy,AGLDBTC,-14.720951999632579,-0.7025072671483971,49.16914682539682,-68.82945914000041,0.28,-12.51444711636371
SmaCrossoverStrategy,ZRXBTC,-20.320852668619455,-0.6551423943358314,48.03819444444444,-64.2664676165582,0.26625386996904027,-19.896739200172796
SmaCrossoverStrategy,RAREBTC,-17.86172364771119,-0.7690011662786215,45.520833333333336,-76.90011662786208,0.12195121951219512,-46.890315016989106
SmaCrossoverStrategy,KSMBTC,-24.114895045545815,-0.6964997920735057,49.114583333333336,-69.34893605498243,0.22699386503067484,-14.18178651431132
SmaCrossoverStrategy,ARBTC,-32.711709111804055,-0.8896116311342914,47.50248015873016,-88.77028877065284,0.2425,-11.096286096331607
SmaCrossoverStrategy,AXLBTC,-13.150478374551357,-0.5901281457922969,46.6468253968254,-58.826281711846626,0.2655367231638418,-16.617593703911474
SmaCrossoverStrategy,ACHBTC,-19.65111282816726,-0.9844942899935281,45.24553571428571,-98.20083686328327,0.10775862068965517,-42.32794692382898
SmaCrossoverStrategy,KAVABTC,-14.73589011054903,-0.6656591887297014,48.75992063492063,-64.17517860806491,0.3036529680365297,-14.651867262115282
SmaCrossoverStrategy,FLOWBTC,-34.065973338939486,-0.7420268042537073,49.449404761904766,-73.94480285989687,0.1656441717791411,-15.12163657666606
RsiBollingerStrategy,ETHBTC,-6.355859674309375,-0.25520232273710297,26.011904761904763,-24.456505666059158,0.4393939393939394,-37.055311615241116
RsiBollingerStrategy,SOLBTC,-5.999718059664211,-0.25705030903475357,30.530753968253972,-20.852611636680262,0.449438202247191,-23.429900715371062
RsiBollingerStrategy,BNBBTC,-6.082703917064421,-0.18364488823908076,30.3422619047619,-16.821592300477406,0.4090909090909091,-19.115445795997054
RsiBollingerStrategy,WBTCBTC,-72.79797302151486,-0.335744119757703,35.98462301587302,-33.57441197577031,0.0,-15.836986781023677
RsiBollingerStrategy,DOGEBTC,1.6368715314272309,-0.25496061832908734,32.99107142857143,8.778249567792496,0.7677419354838709,5.663386817930707
RsiBollingerStrategy,XRPBTC,-2.5459776794877875,-0.2631359250256913,28.387896825396826,-14.794938257034119,0.589041095890411,-20.267038708265794
RsiBollingerStrategy,SUIBTC,-3.573305358397893,-0.3162199113615626,32.301587301587304,-22.667790908123497,0.509090909090909,-20.607082643748623
RsiBollingerStrategy,LTCBTC,-1.2323406451220038,-0.21640777192977922,27.061011904761905,-7.830976850917837,0.6590909090909091,-8.89883733058847
RsiBollingerStrategy,TRXBTC,0.7753116645289273,-0.12021235225956317,34.79414682539683,2.234494736212489,0.627906976744186,5.196499386540644
RsiBollingerStrategy,ADABTC,-2.0561208508302045,-0.30661860224605475,34.65525793650794,-15.478197984229759,0.6148148148148148,-11.465331840170247
RsiBollingerStrategy,MKRBTC,-5.531419603337769,-0.31779191803081486,37.03373015873016,-28.16562373096315,0.5450236966824644,-13.348636839319038
RsiBollingerStrategy,LINKBTC,-5.17446180524048,-0.2580816316006881,35.36954365079365,-21.903761282321142,0.5352112676056338,-15.425184001634559
RsiBollingerStrategy,AVAXBTC,-9.635909596211595,-0.40128731243887417,36.845238095238095,-37.18380553322872,0.5266666666666666,-24.78920368881918
RsiBollingerStrategy,HBARBTC,-0.2700681093831167,-0.29475441122394963,31.71626984126984,-6.8071069195480565,0.6043956043956044,-7.480337274228596
RsiBollingerStrategy,DOTBTC,-4.766304578701227,-0.30298405145499163,40.56795634920635,-25.147536866354514,0.5307017543859649,-11.029621432611604
RsiBollingerStrategy,STXBTC,-11.74274380978868,-0.4858062544269265,41.460813492063494,-47.334776172405554,0.5465587044534413,-19.163876992876776
RsiBollingerStrategy,BCHBTC,-8.58276269731465,-0.3691743438003984,37.576884920634924,-32.532263999549635,0.4587628865979381,-16.769208247190537
RsiBollingerStrategy,AAVEBTC,-7.491625377494319,-0.3720955465403659,38.058035714285715,-34.85829153916812,0.5309278350515464,-17.968191515035144
RsiBollingerStrategy,ARBBTC,-10.135524430404187,-0.4871817182800272,40.486111111111114,-47.134045708618984,0.544,-18.853618283447638
RsiBollingerStrategy,ENABTC,-4.278751158459174,-0.3812943990404426,41.03422619047619,-31.577435435403846,0.5955555555555555,-14.03441574906833
RsiBollingerStrategy,CAKEBTC,-4.416915300637151,-0.38871885135328677,33.983134920634924,-29.37645703658738,0.5507246376811594,-21.28728770767205
RsiBollingerStrategy,CRVBTC,-9.917152211300772,-0.5509216891409712,43.45486111111111,-49.462720510050964,0.49615384615384617,-19.024123273096492
RsiBollingerStrategy,NEARBTC,-9.915996809245732,-0.45344167989259,35.68948412698413,-43.60949316403141,0.524390243902439,-26.591154368311813
RsiBollingerStrategy,PAXGBTC,-7.388331315319531,-0.19928502656760194,34.957837301587304,-16.947908732298178,0.41818181818181815,-6.162875902653919
RsiBollingerStrategy,SBTC,-5.2317668586138435,-0.43600504358647674,41.18799603174603,-32.91776839348736,0.5909090909090909,-12.468851664199732
RsiBollingerStrategy,WLDBTC,-6.463820352291203,-0.32212317585902617,34.98759920634921,-30.914193197342065,0.5568181818181818,-35.12976499697958
RsiBollingerStrategy,ZROBTC,-8.70243132854367,-0.47541801449657106,39.80654761904761,-42.66156245735863,0.5584415584415584,-18.46820885599941
RsiBollingerStrategy,XLMBTC,-0.760493169140291,-0.24936251352786654,39.56845238095238,-6.399882769697562,0.6610169491525424,-2.7118147329226865
RsiBollingerStrategy,WIFBTC,-1.266505715571241,-0.31799602464860444,36.00942460317461,-11.818628877665871,0.6086956521739131,-6.423167868296723
RsiBollingerStrategy,NEXOBTC,2.1950490946560284,-0.07048458149779746,30.900297619047617,8.299385733434029,0.6524822695035462,5.886089172648237
RsiBollingerStrategy,BANANABTC,-10.997453424640947,-0.5108107221655185,49.74454365079365,-50.90089285761249,0.5872340425531914,-21.65995440749467
RsiBollingerStrategy,FETBTC,-4.39302325823068,-0.26859543224590854,32.75049603174603,-24.31567447877565,0.58,-16.210449652517102
RsiBollingerStrategy,TONBTC,-6.616858170811679,-0.31125410283309096,38.1969246031746,-27.344743904912328,0.4672131147540984,-11.206862256111615
